Sphera Model Description,Pkg Type,Lead Count,Mass,Pkg Size,Family,Node,Power dissipation (max),DigiKey (soq),DigiKey (TR1500 or 1000),Arrow (soq),Arrow (1500),Mouser (soq),Mouser (1500),Rochester (1000),Avnet (1000),Avg Cost,Min Cost
GLO: IC BGA 144 (181mg) 10x10mm MPU generic (130 nm node) Sphera,BGA,144,181.0,10x10mm,MPU generic,130.0,417.0,12.48,8.40915,,8.03,12.96,8.41,,,10.05783,8.03
GLO: IC BGA 144 (360mg) 13X13mm MPU generic (130 nm node) Sphera,BGA,144,360.0,13X13mm,MPU generic,130.0,1300.0,11.85,,,,,,11.0,11.366,11.40533333,11.0
GLO: IC BGA 144 (466mg) 13x13x1.75 [based on models 2004-2014] Sphera,BGA,144,466.0,13x13x1.75mm,Unknown,,82.5,76.92,59.61,,,,,,,68.265,59.61
GLO: IC BGA 256 (2.62g) 27x27x2.36 CMOS logic (90 nm node) [based on models 2004-2014] Sphera,BGA,256,2620.0,27x27x2.36mm,CMOS logic,90.0,300.0,43.88,43.88,,,42.18,42.18,,41.79,42.782,41.79
GLO: IC BGA 256 (4g) 27x27 mm CMOS logic (45 nm node) Sphera,BGA,256,4000.0,27x27mm,CMOS logic,45.0,300.0,40.17,40.17,,,39.79,39.79,42.37,43.75,41.00666667,39.79
GLO: IC BGA 48 (70mg) 6x6x1.1mm MPU generic (130 nm node) [based on models 2004-2014] Sphera,BGA,48,70.0,6x6x1.1mm,MPU generic,130.0,380.0,3.34,3.34,,,,3.17,,,3.283333333,3.17
GLO: IC BGA 48 (72mg) 8x6 mm MPU generic (14 nm node) Sphera,BGA,48,72.0,8x6mm,MPU generic,14.0,,,,,,,,,,,
GLO: IC BGA 672 (4.92g) 35x35x2.36 CMOS logic (14 nm node) [based on models 2004-2014] Sphera,BGA,672,4920.0,35x35x2.36mm,CMOS logic,14.0,,,,,,,,,,,
GLO: IC BGA 672 (4.92g) 35x35x2.36 CMOS logic (65 nm node) [based on models 2004-2014] Sphera,BGA,672,4920.0,35x35x2.36mm,CMOS logic,65.0,,,,,,,,,,,
GLO: IC BGA 672 (6.6g) 27x27 mm CMOS (14 nm node) Sphera,BGA,672,6600.0,27x27mm,CMOS logic,14.0,,,,,,,,,,,
GLO: IC DFN 10 (22.3 mg) 3x3 mm CMOS logic (14 nm node) Sphera,DFN,10,22.3,3x3mm,CMOS logic,14.0,250.0,,0.29,,,,,0.25,0.3,0.28,0.25
